frequency X,frequency Y
0.61875,18066338.46929573
0.7000000000000001,241541857.4024311
0.721875,230123042.3377488
0.8250000000000001,334459786.4046574
0.928125,400837377.9409716
1.03125,450420909.4808247
1.134375,490616018.7460016
1.2375,524537171.4523881
1.340625,553897906.5612162
1.44375,579789958.340428
1.546875,602936167.7515274
1.65,623858777.0599332
1.753125,642946285.3991847
1.85625,660490622.4015046
1.959375,676725524.8759172
2.0625,691824759.5657713
2.165625,705937088.5587627
2.26875,719187654.0045727
2.371875,731657750.9640715
2.475,743457795.5535538
2.578125,754669734.3399618
2.68125,765732077.1093165
2.784375,776752683.1227939
2.8875,787728102.9335331
2.990625,798640629.0864916
3.09375,809488989.8084239
3.196875,820258369.4820768
3.3,830943224.2086618
