power X,power Y
0,1.158990316168948e-09
0.103125,4.610744805410801e-09
0.20625,4.025573869658476e-08
0.309375,3.621817565595402e-07
0.4125,2.920227100908963e-06
0.515625,2.665131705950537e-05
0.61875,0.0002296384382497114
0.7000000000000001,0.0005568913411765696
0.721875,0.0006588947155965622
0.8250000000000001,0.001196779642333526
0.928125,0.001830798834638138
1.03125,0.002553747951345991
1.134375,0.00335737941252329
1.2375,0.004233191366611545
1.340625,0.005173350344251792
1.44375,0.006169792328279543
1.546875,0.007215511860668359
1.65,0.008304235309954524
1.753125,0.00943060761609732
1.85625,0.01058919115105264
1.959375,0.01177596045897937
2.0625,0.01298638110860551
2.165625,0.0142176030770947
2.26875,0.01546579129050329
2.371875,0.01672808020506597
2.475,0.01800245890031248
2.578125,0.01928589391577716
2.68125,0.02057794159938736
2.784375,0.02187605244784559
2.8875,0.02317846423622246
2.990625,0.02448394021300412
3.09375,0.02579045289091501
3.196875,0.02709608893813739
3.3,0.02839975922914907
